,id_tweet,stream_group,text_orig,Commercial,POLITICS,ED,Family,ED_patience,ProED,Offensive,Informative,Scientific,Sad,hashtag,text,Segmented#
0,"1,31851E+34",1,"RT @beatED: Learn more about anorexia and bulimia, as well as other eating disorders, here: https://t.co/Aj2HbjRH39 @BBCPanorama #BBCPanorama",0,0,1,0.0,0,0,0,1,0,0.0,['BBCPanorama'],"['learn', 'anorexia', 'bulimia', 'well', 'eating', 'disorder']",bbc panorama
1,"1,31851E+34",1,"A woman tries to balance her relationships with her mother and teenage daughter while under the shadow of #anorexia in the atmospheric British drama #BodyofWater. 

At Depot from Friday, book now: https://lewesdepot.org/film/body-of-water
",0,0,1,0.0,0,0,0,0,0,0.0,"['anorexia', 'BodyofWater']","['woman', 'try', 'balance', 'relationship', 'mother', 'teenage', 'daughter', 'shadow', 'atmospheric', 'british', 'drama', 'depot', 'friday', 'book']",anorexia  bodyof water
2,"1,31851E+34",1,not a full on diagnosis but like my therapist legit told my mom i have anorexia nevrususu and my poor mom sat there like 👁👄👁...oh,0,0,1,0.0,1,0,0,0,0,0.0,[],"['full', 'diagnosis', 'like', 'therapist', 'legit', 'told', 'mom', 'anorexia', 'nevrususu', 'poor', 'mom', 'sat', 'like', 'oh']",
3,"1,31852E+34",1,Higher-calorie diets for patients with anorexia nervosa shorten hospital stays https://t.co/jQFWUHQELR via @instapaper,0,0,1,0.0,0,0,0,1,1,0.0,[],"['highercalorie', 'diet', 'patient', 'anorexia', 'nervosa', 'shorten', 'hospital', 'stay', 'via']",
4,"1,31852E+34",1,"tw // ed ment freddie pissed me off but it was amazing. but the way they got the anorexic, bulimic actress to play a food-obsessed character will never sit right with me",0,0,1,0.0,1,1,0,0,0,0.0,[],"['tw', 'ed', 'ment', 'freddie', 'pissed', 'wa', 'amazing', 'way', 'got', 'anorexic', 'bulimic', 'actress', 'play', 'foodobsessed', 'character', 'never', 'sit', 'right']",
5,"1,31852E+34",1,"the brains of a woman suffering with AN, one with a healthy weight and one considered obese. the AN patient suppresses the positve reward stimulus the obese woman and the AN patient both receive more rewards stimulus, however the area is wider in the anorexia patient https://t.co/jwMQAcRoeJ",0,0,1,0.0,0,0,0,1,1,0.0,[],"['brain', 'woman', 'suffering', 'one', 'healthy', 'weight', 'one', 'considered', 'obese', 'patient', 'suppresses', 'positve', 'reward', 'stimulus', 'obese', 'woman', 'patient', 'receive', 'reward', 'stimulus', 'however', 'area', 'wider', 'anorexia', 'patient']",
6,"1,31852E+33",1,a brain scan showing the areas affected by positive/negative rewards. be it financial or social. a detailed explanation of an anorexic brain https://t.co/bvehB5qgIo,0,0,1,0.0,0,0,0,1,1,0.0,[],"['brain', 'scan', 'showing', 'area', 'affected', 'positive', 'negative', 'reward', 'financial', 'social', 'detailed', 'explanation', 'anorexic', 'brain']",
7,"1,31852E+34",1,I SEARCHED UP ANOREXIA IN GIFS BYYYYE https://t.co/uY2QKBarML,0,0,1,0.0,1,1,0,0,0,0.0,[],"['searched', 'anorexia', 'gifs', 'byyyye']",
8,"1,31852E+34",1,@Naija_PR @volqx No problem nobody moves right. We shutdown everywhere please start contributions for those staying at home without food. Let’s start cooking n sharing house to house. #wereydeydisguise,0,1,0,0.0,0,0,0,1,0,0.0,['wereydeydisguise'],"['problem', 'nobody', 'move', 'right', 'shutdown', 'everywhere', 'please', 'start', 'contribution', 'staying', 'home', 'without', 'food', 'let', 'start', 'cooking', 'n', 'sharing', 'house', 'house']",were y dey disguise
9,"1,31852E+34",1,"hii! not new to EDtwt, just using an old account! 🌞 • she/her 17 • vegan  • atypical/anorexia • cw: 53.6kg  • gw: 42kg  • 166cm  • pro recovery  • thinspo &amp; sweetspo  • low cal recipes  like / rt to become mutuals! &lt;3 {#thinspo #edtwt #ed #fatspo #sweetspo #meanspo}",0,0,1,0.0,1,1,1,0,0,0.0,"['thinspo', 'edtwt', 'ed', 'fatspo', 'sweetspo', 'meanspo']","['hii', 'new', 'edtwt', 'using', 'old', 'account', 'vegan', 'atypical', 'anorexia', 'cw', 'kg', 'gw', 'kg', 'cm', 'pro', 'recovery', 'thinspo', 'sweetspo', 'low', 'cal', 'recipe', 'like', 'rt', 'become', 'mutuals']",thinspo  edtwt ed fatspo  sweet spo meanspo
